{'g1': 0, 'g2': 542, 'g3': 0, 'g4': 0, 'g5': 0, 'g6': 542}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 0, 'g6': 0}
{'g1': 0, 'g2': 743, 'g3': 111, 'g4': 0, 'g5': 743, 'g6': 0}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 0, 'g6': 0}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 113, 'g6': 0}
{'g1': 0, 'g2': 8, 'g3': 12, 'g4': 132, 'g5': 990, 'g6': 0}
{'g1': 78, 'g2': 20, 'g3': 5, 'g4': 448, 'g5': 676, 'g6': 560}
{'g1': 76, 'g2': 62, 'g3': 33, 'g4': 889, 'g5': 93, 'g6': 405}
{'g1': 28, 'g2': 0, 'g3': 11, 'g4': 998, 'g5': 274, 'g6': 996}
{'g1': 25, 'g2': 5, 'g3': 0, 'g4': 999, 'g5': 995, 'g6': 999}
{'g1': 13, 'g2': 0, 'g3': 0, 'g4': 636, 'g5': 409, 'g6': 880}
{'g1': 24, 'g2': 1, 'g3': 1, 'g4': 996, 'g5': 595, 'g6': 996}
{'g1': 54, 'g2': 9, 'g3': 21, 'g4': 994, 'g5': 996, 'g6': 994}
{'g1': 0, 'g2': 0, 'g3': 607, 'g4': 915, 'g5': 915, 'g6': 917}
{'g1': 62, 'g2': 0, 'g3': 0, 'g4': 658, 'g5': 653, 'g6': 296}
{'g1': 0, 'g2': 0, 'g3': 16, 'g4': 996, 'g5': 996, 'g6': 439}
{'g1': 0, 'g2': 2, 'g3': 15, 'g4': 926, 'g5': 920, 'g6': 925}
{'g1': 0, 'g2': 0, 'g3': 2, 'g4': 752, 'g5': 722, 'g6': 462}
{'g1': 19, 'g2': 24, 'g3': 5, 'g4': 0, 'g5': 703, 'g6': 997}
{'g1': 0, 'g2': 0, 'g3': 7, 'g4': 254, 'g5': 909, 'g6': 943}
{'g1': 331, 'g2': 0, 'g3': 0, 'g4': 793, 'g5': 585, 'g6': 974}
{'g1': 58, 'g2': 14, 'g3': 32, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 271, 'g2': 1, 'g3': 24, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 8, 'g2': 587, 'g3': 642, 'g4': 841, 'g5': 841, 'g6': 841}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 284, 'g5': 428, 'g6': 590}
{'g1': 56, 'g2': 881, 'g3': 0, 'g4': 994, 'g5': 939, 'g6': 994}
{'g1': 563, 'g2': 992, 'g3': 5, 'g4': 992, 'g5': 992, 'g6': 992}
{'g1': 0, 'g2': 991, 'g3': 528, 'g4': 289, 'g5': 991, 'g6': 991}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 814, 'g5': 812, 'g6': 529}
{'g1': 78, 'g2': 421, 'g3': 60, 'g4': 995, 'g5': 999, 'g6': 707}
{'g1': 65, 'g2': 143, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 821, 'g2': 366, 'g3': 695, 'g4': 993, 'g5': 992, 'g6': 997}
{'g1': 68, 'g2': 0, 'g3': 104, 'g4': 68, 'g5': 67, 'g6': 729}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 24, 'g5': 656, 'g6': 373}
{'g1': 0, 'g2': 1, 'g3': 23, 'g4': 473, 'g5': 999, 'g6': 535}
{'g1': 0, 'g2': 0, 'g3': 16, 'g4': 99, 'g5': 559, 'g6': 494}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 515, 'g5': 784, 'g6': 642}
{'g1': 6, 'g2': 0, 'g3': 0, 'g4': 939, 'g5': 692, 'g6': 645}
{'g1': 149, 'g2': 0, 'g3': 0, 'g4': 999, 'g5': 751, 'g6': 999}
{'g1': 123, 'g2': 0, 'g3': 270, 'g4': 701, 'g5': 188, 'g6': 701}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 572, 'g5': 635, 'g6': 630}
{'g1': 0, 'g2': 0, 'g3': 39, 'g4': 512, 'g5': 195, 'g6': 995}
{'g1': 124, 'g2': 909, 'g3': 0, 'g4': 898, 'g5': 996, 'g6': 999}
{'g1': 52, 'g2': 735, 'g3': 256, 'g4': 735, 'g5': 736, 'g6': 795}
{'g1': 167, 'g2': 0, 'g3': 0, 'g4': 64, 'g5': 534, 'g6': 997}
{'g1': 43, 'g2': 0, 'g3': 0, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 20, 'g3': 5, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 676, 'g3': 736, 'g4': 999, 'g5': 806, 'g6': 993}
{'g1': 0, 'g2': 0, 'g3': 188, 'g4': 190, 'g5': 680, 'g6': 704}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 204, 'g5': 317, 'g6': 998}
{'g1': 249, 'g2': 0, 'g3': 0, 'g4': 898, 'g5': 869, 'g6': 996}
{'g1': 68, 'g2': 0, 'g3': 529, 'g4': 813, 'g5': 813, 'g6': 813}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 985, 'g5': 415, 'g6': 355}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 994, 'g5': 793, 'g6': 676}
{'g1': 19, 'g2': 0, 'g3': 0, 'g4': 821, 'g5': 820, 'g6': 820}
{'g1': 220, 'g2': 0, 'g3': 0, 'g4': 658, 'g5': 672, 'g6': 705}
{'g1': 0, 'g2': 0, 'g3': 29, 'g4': 992, 'g5': 995, 'g6': 997}
{'g1': 81, 'g2': 276, 'g3': 62, 'g4': 995, 'g5': 996, 'g6': 996}
{'g1': 0, 'g2': 0, 'g3': 528, 'g4': 747, 'g5': 644, 'g6': 986}
{'g1': 136, 'g2': 0, 'g3': 0, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 461, 'g3': 347, 'g4': 997, 'g5': 998, 'g6': 997}
{'g1': 0, 'g2': 195, 'g3': 195, 'g4': 360, 'g5': 195, 'g6': 641}
{'g1': 177, 'g2': 0, 'g3': 0, 'g4': 999, 'g5': 282, 'g6': 928}
{'g1': 336, 'g2': 676, 'g3': 0, 'g4': 999, 'g5': 468, 'g6': 964}
{'g1': 0, 'g2': 0, 'g3': 6, 'g4': 94, 'g5': 447, 'g6': 732}
{'g1': 0, 'g2': 2, 'g3': 0, 'g4': 426, 'g5': 856, 'g6': 465}
{'g1': 146, 'g2': 616, 'g3': 0, 'g4': 575, 'g5': 996, 'g6': 886}
{'g1': 0, 'g2': 676, 'g3': 0, 'g4': 784, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 214, 'g3': 0, 'g4': 772, 'g5': 742, 'g6': 890}
{'g1': 0, 'g2': 957, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 891, 'g3': 0, 'g4': 999, 'g5': 999, 'g6': 997}
